model_feature_order,gene_symbol,max_abs_scale,elastic_net_coefficient,centroid_B_CONV,centroid_B_ASC
317,MYC,3.5137308,-1.6621009,0.23712759,0.13397372
318,ST3GAL1,3.0579545,1.131166,0.108869754,0.09229999
319,CHRAC1,3.0090346,0.004966179,0.15522854,0.139386
320,LY6E,3.6530964,-0.552706,0.8271151,1.1542414
321,B4GALT1,3.8252234,-0.9981596,0.19906186,0.2733009
322,CD72,3.636759,-0.11223761,0.24646178,0.03611962
323,MSMP,2.5147595,0.3312834,0.0075711445,0.0030423722
324,RECK,2.994498,0.27857444,0.025240533,0.026441073
325,ZCCHC7,3.512152,-0.82135534,0.41263828,0.28195497
326,TRMT10B,2.9861252,-2.6036594,0.06450889,0.048801444
327,KLF9,3.4035203,-0.30529135,0.101077534,0.035120457
328,GCNT1,2.9004393,-0.28564757,0.03938917,0.004243418
329,TLE4,3.5184832,2.750705,0.21756874,0.37198034
330,TLE1,3.605485,-0.3893562,0.17478365,0.18353792
331,ABCA1,2.9368918,0.30125704,0.025761183,0.0071872156
332,HSPA5,4.4430466,4.004114,0.25549698,1.8655301
333,HMGA1P4,3.4780712,0.4054707,0.05002186,0.028497064
334,TTF1,3.1025212,-0.6247753,0.11674281,0.09001998
335,LCN8,2.6417544,0.10462842,0.02449454,0.017904632
336,KLF6,4.616536,0.12371478,0.9447698,0.54131705
337,KIN,3.5184832,-0.27147254,0.08837855,0.089051254
338,TAF3,2.8955812,-0.3142305,0.13816698,0.15064631
339,RPP38,3.031286,0.085911885,0.07199326,0.1003545
340,ANKRD26,3.1025212,1.4161493,0.04009636,0.0555488
341,YME1L1,3.4584982,-1.2280645,0.22880737,0.26303625
342,WAC-AS1,2.997206,-0.4373282,0.07634507,0.06034264
343,MAP3K8,3.8866842,-0.871311,0.22893566,0.16965142
344,ITGB1,4.4979467,3.2191432,0.2280722,1.0692561
345,CREM,2.994498,0.027786704,0.084894225,0.12318506
346,ARHGAP22,2.9053237,0.41486794,0.007983809,0.0018848614
347,ARID5B,3.7120123,-3.2534096,0.52186215,0.4069326
348,SRGN,4.149503,-1.3704394,0.38892347,2.038424
349,DDIT4,3.3462927,0.06858549,0.21651825,0.26854983
350,ADK,3.2677622,-0.09211343,0.3013194,0.18961716
351,KIF20B,3.2165747,1.8947344,0.12365047,0.18454316
352,HHEX,3.5105758,-0.7704309,0.27678913,0.055451572
353,NOC3L,2.9470954,1.4831258,0.10228003,0.10376164
354,MXI1,2.9909003,-1.2502229,0.070698544,0.025508739
355,PLEKHA1,3.038826,0.2021615,0.084766604,0.02451092
356,LHPP,3.3979166,-0.52730936,0.09470929,0.11763804
357,FAM53B,3.1345382,0.9101446,0.052371163,0.03952996
358,KCNQ1OT1,3.144401,-0.6977293,0.069619596,0.09253871
359,APBB1,2.7920196,0.59771204,0.015980957,0.011898464
360,ZBED5,3.4176784,0.4569979,0.1136558,0.068723194
361,CYP2R1,2.9419792,1.7277452,0.026536806,0.029651597
362,SVIP,3.6971295,1.3718901,0.30543542,0.32279703
363,CCDC34,2.966982,-0.46016532,0.018592356,0.06900852
364,PHF21A,2.994498,-0.5307294,0.06907187,0.08187981
365,FAM111B,3.021948,0.05938095,0.056796785,0.03659722
366,DTX4,2.7763467,-0.21162109,0.013216241,0.0061869035
367,FADS3,2.8453426,-1.0812607,0.05565688,0.016050074
368,WDR74,3.7077363,-0.3097813,0.29433954,0.2775052
369,FKBP2,4.3184752,7.65368,0.13680215,1.4332819
370,NEAT1,4.149149,1.96813,0.6798704,1.4694403
371,MALAT1,8.66145,-1.3679304,6.5388203,5.836418
372,CCND1,3.1035366,0.42337307,0.01526401,0.0028565903
373,XRRA1,3.0145464,1.0775696,0.07638924,0.14834799
374,RAB30,3.0706072,2.037846,0.15251811,0.22197297
