replicate,resolution,reference_cluster,reference_cells,mapped_cells,jaccard,recall
9,0.6,2,32872,32031,0.6981423338566196,0.8117242638111463
9,0.6,3,3346,0,0.0,0.0
9,0.6,4,1084,1281,0.7125271542360608,0.9077490774907749
9,0.6,5,1036,1056,0.9735849056603774,0.9961389961389961
9,0.8,0,41539,50085,0.6791716301658572,0.8921495462095862
9,0.8,1,32104,30186,0.6525614835645875,0.7661662098180912
9,0.8,2,22879,4998,0.21325673499586542,0.21417019974649243
9,0.8,3,17715,32614,0.4897729627327354,0.9340107253739769
9,0.8,4,3816,0,0.0,0.0
9,0.8,5,1221,1367,0.693717277486911,0.8681408681408681
9,0.8,6,1046,1070,0.9628942486085343,0.9923518164435946
10,0.4,0,76503,50023,0.6304476688745135,0.6395043331634054
10,0.4,1,40315,65602,0.5768263089726221,0.9610814833188639
10,0.4,2,1483,2533,0.5120481927710844,0.9170600134861767
10,0.4,3,1024,1028,0.9883720930232558,0.99609375
10,0.4,4,995,1134,0.699122106943336,0.8804020100502512
10,0.6,0,43061,54698,0.7114970500183827,0.9437774320150484
10,0.6,1,39052,39634,0.8856430779553788,0.9463535798422616
10,0.6,2,32791,20863,0.588054223642929,0.6058979598060443
10,0.6,3,3292,4079,0.647887323943662,0.8803159173754557
10,0.6,4,1094,0,0.0,0.0
10,0.6,5,1030,1046,0.9790276453765491,0.9970873786407767
10,0.8,0,41578,37013,0.5457281095114468,0.6673481167925345
10,0.8,1,31978,42725,0.606308863372468,0.8817624616924136
10,0.8,2,22941,30022,0.49782239819004526,0.7673161588422475
10,0.8,3,17779,8221,0.25926284690269774,0.30108555036841217
10,0.8,4,3767,0,0.0,0.0
10,0.8,5,1240,1290,0.6732804232804233,0.8209677419354838
10,0.8,6,1037,1049,0.9753787878787878,0.9932497589199615
11,0.4,0,76791,78463,0.9313321805764614,0.9749449805315727
11,0.4,1,40024,39767,0.9064583184001147,0.9478812712372576
11,0.4,2,1487,0,0.0,0.0
11,0.4,3,1051,1052,0.9839622641509433,0.9923882017126546
11,0.4,4,967,1038,0.7480383609415867,0.8872802481902792
11,0.6,0,43099,42677,0.6891024378716868,0.8119445926819647
11,0.6,1,38794,39265,0.9017443843492666,0.9540908387895035
11,0.6,2,32958,37306,0.7133799897583457,0.8876448813641604
11,0.6,3,3349,0,0.0,0.0
11,0.6,4,1063,0,0.0,0.0
11,0.6,5,1057,1072,0.9804651162790697,0.9971617786187322
11,0.8,0,41573,45846,0.6806821240435268,0.8516344742982224
11,0.8,1,32195,33798,0.7033528637431278,0.8464047212300047
11,0.8,2,22810,31910,0.60379847006067,0.9031565103024989
11,0.8,3,17639,7682,0.39256448330858495,0.4046714666364306
11,0.8,4,3832,0,0.0,0.0
11,0.8,5,1205,0,0.0,0.0
11,0.8,6,1066,1084,0.9742883379247016,0.9953095684803002
12,0.4,0,76486,75392,0.9436403424578647,0.9640587819993202
12,0.4,1,40303,39721,0.9114317106960302,0.9467781554722974
12,0.4,2,1495,3099,0.46259153135943964,0.9719063545150501
12,0.4,3,1051,1043,0.9848341232227488,0.9885823025689819
12,0.4,4,985,1065,0.7241379310344828,0.8741116751269036
12,0.6,0,42962,41890,0.7918655235038222,0.8728178390205298
