replicate,resolution,reference_cluster,reference_cells,mapped_cells,jaccard,recall
17,0.6,1,38934,39272,0.915968445293743,0.9602917758257564
17,0.6,2,32796,36830,0.7190331580376762,0.8880046347115502
17,0.6,3,3350,0,0.0,0.0
17,0.6,4,1089,1018,0.785593220338983,0.8512396694214877
17,0.6,5,1069,1078,0.9861239592969473,0.9971936389148737
17,0.8,0,41600,41267,0.6237924480238277,0.7652403846153846
17,0.8,1,31993,38788,0.6596947030271766,0.8793798643453256
17,0.8,2,22928,15089,0.5852966932154623,0.6121772505233776
17,0.8,3,17677,24088,0.6681311658745057,0.9463144198676245
17,0.8,4,3822,0,0.0,0.0
17,0.8,5,1220,0,0.0,0.0
17,0.8,6,1080,1088,0.9835315645013724,0.9953703703703703
18,0.4,0,76644,75991,0.9531779850794017,0.971869944157403
18,0.4,1,40163,39452,0.9215823518053678,0.9507008938575305
18,0.4,2,1474,2942,0.4838709677419355,0.9769335142469471
18,0.4,3,1051,1053,0.9924242424242424,0.9971455756422455
18,0.4,4,988,882,0.7998075072184793,0.8410931174089069
18,0.6,0,43141,38199,0.7364016736401674,0.7996105792633458
18,0.6,1,38945,39039,0.9178594264915646,0.9583258441391707
18,0.6,2,32809,37751,0.7166212534059946,0.897802432259441
18,0.6,3,3301,3309,0.7321802935010482,0.846410178733717
18,0.6,4,1068,958,0.781882145998241,0.8323970037453183
18,0.6,5,1056,1064,0.9850187265917603,0.9962121212121212
18,0.8,0,41579,44075,0.7435928753180662,0.8785444575386614
18,0.8,1,32073,32218,0.7388164656244929,0.8517132790820939
18,0.8,2,22912,16909,0.6689438390611903,0.6966218575418994
18,0.8,3,17704,21919,0.7308666783155687,0.945040668775418
18,0.8,4,3778,4122,0.6575744859420898,0.8295394388565378
18,0.8,5,1207,0,0.0,0.0
18,0.8,6,1067,1077,0.977859778597786,0.993439550140581
19,0.4,0,76722,76510,0.9544150096297336,0.975326503480097
19,0.4,1,40094,39115,0.9200785397425641,0.9466753130144161
19,0.4,2,1490,2748,0.5141121829224723,0.9657718120805369
19,0.4,3,1037,1046,0.9913957934990439,1.0
19,0.4,4,977,901,0.8250728862973761,0.8689866939611054
19,0.6,0,43242,52945,0.7484730604231804,0.9521992507284585
19,0.6,1,38845,39807,0.9198398750244093,0.9701119835242631
19,0.6,2,32781,22120,0.6218427816017252,0.6421402641774199
19,0.6,3,3337,3372,0.7385332987820679,0.8540605334132454
19,0.6,4,1073,1025,0.7901023890784983,0.8630009319664492
19,0.6,5,1042,1051,0.9820075757575758,0.9952015355086372
19,0.8,0,41718,43763,0.7623858318042183,0.8863799798648065
19,0.8,1,32024,30156,0.7047292666209732,0.8026792405695728
19,0.8,2,22789,17395,0.6646230323115162,0.7040238711659134
19,0.8,3,17722,22705,0.7094591737494186,0.9467328743934094
19,0.8,4,3799,4113,0.6566164154103853,0.8254803895762043
19,0.8,5,1219,1134,0.7559701492537313,0.8310090237899918
19,0.8,6,1049,1054,0.9746478873239437,0.9895138226882746
20,0.4,0,76599,79080,0.9402153593060645,0.984882309168527
20,0.4,1,40132,39244,0.9209602865371119,0.9482457888966411
20,0.4,2,1508,0,0.0,0.0
20,0.4,3,1044,1050,0.9886039886039886,0.9971264367816092
20,0.4,4,1037,946,0.8060109289617486,0.8534233365477338
20,0.6,0,43083,43309,0.7425470975029247,0.8544901701367128
20,0.6,1,38886,39930,0.9090248510390931,0.965128838142262
20,0.6,2,32822,34990,0.73627611634576,0.8761196758271891
20,0.6,3,3358,0,0.0,0.0
20,0.6,4,1121,1041,0.7794238683127572,0.8447814451382694
20,0.6,5,1050,1050,0.9848771266540642,0.9923809523809524
20,0.8,0,41582,45882,0.7221390879735371,0.8820162570342936
20,0.8,1,32026,32135,0.7404313034043131,0.8523075001561231
20,0.8,2,22849,20207,0.7037711210478415,0.7783710446846689
20,0.8,3,17721,21039,0.757743412997143,0.9428926132836747
20,0.8,4,3822,0,0.0,0.0
20,0.8,5,1262,0,0.0,0.0
20,0.8,6,1058,1057,0.9784845650140318,0.9886578449905482
