contrast,regulator,replicate,sampled_targets,slope,positive,same_direction_as_full
gse174188_primary,IRF9,88,6,4.127265093761926,True,True
gse174188_primary,IRF9,89,6,3.6464184210600594,True,True
gse174188_primary,IRF9,90,6,3.6464184210600594,True,True
gse174188_primary,IRF9,91,6,4.127265093761926,True,True
gse174188_primary,IRF9,92,6,3.6464184210600594,True,True
gse174188_primary,IRF9,93,6,3.8051229462881326,True,True
gse174188_primary,IRF9,94,6,3.6464184210600594,True,True
gse174188_primary,IRF9,95,6,3.8051229462881326,True,True
gse174188_primary,IRF9,96,6,3.426113070208791,True,True
gse174188_primary,IRF9,97,6,3.426113070208791,True,True
gse174188_primary,IRF9,98,6,3.426113070208791,True,True
gse174188_primary,IRF9,99,6,3.6464184210600594,True,True
gse174188_primary,IRF9,100,6,4.127265093761926,True,True
gse174188_internal_nonoverlap,STAT1,1,104,0.9512145450275882,True,True
gse174188_internal_nonoverlap,STAT1,2,104,1.0027572224371406,True,True
gse174188_internal_nonoverlap,STAT1,3,104,1.1374878937806563,True,True
gse174188_internal_nonoverlap,STAT1,4,104,1.290910711157844,True,True
gse174188_internal_nonoverlap,STAT1,5,104,1.004704756618136,True,True
gse174188_internal_nonoverlap,STAT1,6,104,1.2044479539461672,True,True
gse174188_internal_nonoverlap,STAT1,7,104,1.1031673595849574,True,True
gse174188_internal_nonoverlap,STAT1,8,104,1.0881964082137254,True,True
gse174188_internal_nonoverlap,STAT1,9,104,1.1649709177950516,True,True
gse174188_internal_nonoverlap,STAT1,10,104,1.1584085020931154,True,True
gse174188_internal_nonoverlap,STAT1,11,104,1.2076446517273043,True,True
gse174188_internal_nonoverlap,STAT1,12,104,1.0400071324263787,True,True
gse174188_internal_nonoverlap,STAT1,13,104,1.0594427517122231,True,True
gse174188_internal_nonoverlap,STAT1,14,104,0.9749202808510075,True,True
gse174188_internal_nonoverlap,STAT1,15,104,1.138051646915263,True,True
gse174188_internal_nonoverlap,STAT1,16,104,1.1607833495638125,True,True
gse174188_internal_nonoverlap,STAT1,17,104,1.135897973693249,True,True
gse174188_internal_nonoverlap,STAT1,18,104,1.3248591226216966,True,True
gse174188_internal_nonoverlap,STAT1,19,104,0.9316288974094921,True,True
gse174188_internal_nonoverlap,STAT1,20,104,1.1982297501546795,True,True
gse174188_internal_nonoverlap,STAT1,21,104,0.9755541310836175,True,True
gse174188_internal_nonoverlap,STAT1,22,104,1.057767702543031,True,True
gse174188_internal_nonoverlap,STAT1,23,104,0.9718083019346535,True,True
gse174188_internal_nonoverlap,STAT1,24,104,1.0524050623658254,True,True
gse174188_internal_nonoverlap,STAT1,25,104,0.9087902490666295,True,True
gse174188_internal_nonoverlap,STAT1,26,104,0.9908729209537056,True,True
gse174188_internal_nonoverlap,STAT1,27,104,1.0014885554788464,True,True
gse174188_internal_nonoverlap,STAT1,28,104,1.0525096663746427,True,True
gse174188_internal_nonoverlap,STAT1,29,104,1.1090968201295066,True,True
gse174188_internal_nonoverlap,STAT1,30,104,1.092019637717754,True,True
gse174188_internal_nonoverlap,STAT1,31,104,0.9609391562931761,True,True
gse174188_internal_nonoverlap,STAT1,32,104,1.0990630762131084,True,True
gse174188_internal_nonoverlap,STAT1,33,104,1.2596962513095769,True,True
gse174188_internal_nonoverlap,STAT1,34,104,0.9268428805131225,True,True
gse174188_internal_nonoverlap,STAT1,35,104,1.0494523769299964,True,True
gse174188_internal_nonoverlap,STAT1,36,104,1.0095925079890804,True,True
gse174188_internal_nonoverlap,STAT1,37,104,1.1110485911781922,True,True
gse174188_internal_nonoverlap,STAT1,38,104,1.1379698496631694,True,True
gse174188_internal_nonoverlap,STAT1,39,104,0.7856504232258683,True,True
gse174188_internal_nonoverlap,STAT1,40,104,0.9776290519735419,True,True
gse174188_internal_nonoverlap,STAT1,41,104,1.1608720892566011,True,True
gse174188_internal_nonoverlap,STAT1,42,104,1.1656409929098166,True,True
gse174188_internal_nonoverlap,STAT1,43,104,1.1146639161972653,True,True
gse174188_internal_nonoverlap,STAT1,44,104,1.1121897262179639,True,True
gse174188_internal_nonoverlap,STAT1,45,104,1.1071223386632245,True,True
gse174188_internal_nonoverlap,STAT1,46,104,1.1089492058664303,True,True
gse174188_internal_nonoverlap,STAT1,47,104,1.239724335197467,True,True
gse174188_internal_nonoverlap,STAT1,48,104,1.2255422139676682,True,True
gse174188_internal_nonoverlap,STAT1,49,104,1.0674191620890081,True,True
gse174188_internal_nonoverlap,STAT1,50,104,1.1256064502159224,True,True
gse174188_internal_nonoverlap,STAT1,51,104,1.047081944775872,True,True
gse174188_internal_nonoverlap,STAT1,52,104,1.188371122361281,True,True
