resolution,cluster,module,n_cells,n_genes,mean_module_log_expression,fraction_any_gene_detected
1.2,2,T_NK,26246,4,0.2495841383934021,0.42303589118341844
1.2,2,myeloid,26246,5,0.5489546656608582,0.7897203383372704
1.2,2,platelet,26246,4,0.09808740019798279,0.18703802484188067
1.2,2,erythroid,26246,3,0.12560324370861053,0.15305189362188523
1.2,3,B_identity,23044,7,2.1103789806365967,0.9999566047561187
1.2,3,naive,23044,4,0.7723978161811829,0.869640687380663
1.2,3,memory,23044,5,0.25916847586631775,0.5475177920499913
1.2,3,atypical,23044,5,0.1258382350206375,0.30164034021871206
1.2,3,plasmablast,23044,6,0.25177764892578125,0.5840999826419024
1.2,3,interferon,23044,6,0.4087934195995331,0.664684950529422
1.2,3,T_NK,23044,4,0.20612308382987976,0.3749349071341781
1.2,3,myeloid,23044,5,0.5435303449630737,0.7852369380315918
1.2,3,platelet,23044,4,0.11242818087339401,0.20768963721576114
1.2,3,erythroid,23044,3,0.12012675404548645,0.15466064919284847
1.2,4,B_identity,21583,7,1.956822395324707,0.9998610017143121
1.2,4,naive,21583,4,0.14583583176136017,0.28031320947041655
1.2,4,memory,21583,5,0.6108645796775818,0.8555344484084696
1.2,4,atypical,21583,5,0.24216577410697937,0.4776444423852106
1.2,4,plasmablast,21583,6,0.20480559766292572,0.4972895334290877
1.2,4,interferon,21583,6,0.1910916119813919,0.4506324421998795
1.2,4,T_NK,21583,4,0.2546871602535248,0.4694435435296298
1.2,4,myeloid,21583,5,0.530579686164856,0.811471991845434
1.2,4,platelet,21583,4,0.12227743119001389,0.248528934809804
1.2,4,erythroid,21583,3,0.1250631958246231,0.16318398739748877
1.2,5,B_identity,14108,7,1.8560006618499756,0.9997873546923731
1.2,5,naive,14108,4,0.605488121509552,0.7387297986957755
1.2,5,memory,14108,5,0.2714509069919586,0.5438758151403459
1.2,5,atypical,14108,5,0.08431601524353027,0.2032889140912957
1.2,5,plasmablast,14108,6,0.1729377955198288,0.4262829600226822
1.2,5,interferon,14108,6,0.1538621038198471,0.3792174652679331
1.2,5,T_NK,14108,4,0.20083503425121307,0.35036858519988656
1.2,5,myeloid,14108,5,0.5097252130508423,0.7493620640771194
