var_name,gene_id,feature_name,highly_variable,highly_variable_nbatches,means,dispersions,dispersions_norm,is_mitochondrial,is_ribosomal,is_hemoglobin,is_stress,is_cell_cycle,is_immunoglobulin,is_strong_isg,hvg_primary,hvg_isg_excluded,hvg_union
ENSG00000178585,ENSG00000178585,CTNNBIP1,False,37,0.07714835754584255,1.7094895735852291,0.076770075,False,False,False,False,False,False,False,False,False,False
ENSG00000162441,ENSG00000162441,LZIC,True,63,0.1587878308315913,1.75956526553651,0.2906069,False,False,False,False,False,False,False,True,True,True
ENSG00000173614,ENSG00000173614,NMNAT1,True,58,0.04178045331469048,1.7192684516502084,0.26007837,False,False,False,False,False,False,False,True,True,True
ENSG00000162444,ENSG00000162444,RBP7,True,55,0.03810327545062439,1.7425483882541237,0.22220704,False,False,False,False,False,False,False,False,False,False
ENSG00000130939,ENSG00000130939,UBE4B,True,62,0.1170465506525845,1.7453371507601445,0.22680688,False,False,False,False,False,False,False,True,True,True
ENSG00000054523,ENSG00000054523,KIF1B,False,32,0.030838313270664733,1.6583708703755944,-0.012762107,False,False,False,False,False,False,False,False,False,False
ENSG00000142657,ENSG00000142657,PGD,False,23,0.12045881222085156,1.6806798897120878,-0.045788426,False,False,False,False,False,False,False,False,False,False
ENSG00000271989,ENSG00000271989,ENSG00000271989,False,10,0.0007102614897725324,0.32305012898945795,-0.10175776,False,False,False,False,False,False,False,False,False,False
ENSG00000175279,ENSG00000175279,CENPS,True,62,0.03754608802437883,1.7446568609601294,0.25010926,False,False,False,False,False,False,False,True,True,True
ENSG00000160049,ENSG00000160049,DFFA,True,47,0.1347291802155911,1.7356054955656084,0.20241122,False,False,False,False,False,False,False,False,False,False
ENSG00000142655,ENSG00000142655,PEX14,False,33,0.05267917774443629,1.6880114733334521,-0.016474042,False,False,False,False,False,False,False,False,False,False
ENSG00000130940,ENSG00000130940,CASZ1,True,58,0.03338263648284148,1.7559350626595929,0.2822317,False,False,False,False,False,False,False,True,True,True
ENSG00000272078,ENSG00000272078,ENSG00000272078,False,11,0.0009416371154411948,0.4001749273711008,-0.04762169,False,False,False,False,False,False,False,False,False,False
ENSG00000120948,ENSG00000120948,TARDBP,True,53,0.33464520660242125,1.7520040222240894,0.07124701,False,False,False,False,False,False,False,False,False,False
ENSG00000116649,ENSG00000116649,SRM,False,23,0.2845895249850142,1.6887288190438783,-0.20690435,False,False,False,False,False,False,False,False,False,False
ENSG00000171824,ENSG00000171824,EXOSC10,True,50,0.13338580271789355,1.7390262696289007,0.20700593,False,False,False,False,False,False,False,False,False,False
ENSG00000230337,ENSG00000230337,EXOSC10-AS1,False,11,0.0013895081320619872,0.5320673835736082,-0.6846563,False,False,False,False,False,False,False,False,False,False
ENSG00000198793,ENSG00000198793,MTOR,True,46,0.05543413998803048,1.734624294821568,0.18674694,False,False,False,False,False,False,False,False,False,False
ENSG00000120942,ENSG00000120942,UBIAD1,True,59,0.10096411750825518,1.7481900485738266,0.24344882,False,False,False,False,False,False,False,True,True,True
ENSG00000116661,ENSG00000116661,FBXO2,False,24,0.02646337472874796,1.6473033298430722,-0.20379192,False,False,False,False,False,False,False,False,False,False
