pseudobulk_row,representation,sample_id,accession,frozen_compartment,source_label,cell_count,library_size_umi,detected_genes
299,source_label,JB18067,GSM4029920,B_ASC_CONTROL,PC-caSC1,1,7455,2069
300,compartment,JB18068,GSM4029921,B_CONV_ANALOG,,400,1155332,13523
301,compartment,JB18068,GSM4029921,B_ASC_CONTROL,,52,390479,10973
302,source_label,JB18068,GSM4029921,B_CONV_ANALOG,B-caSC0,18,42350,5372
303,source_label,JB18068,GSM4029921,B_CONV_ANALOG,B-caSC1,7,15867,3226
304,source_label,JB18068,GSM4029921,B_CONV_ANALOG,B-caSC2,68,215841,9758
305,source_label,JB18068,GSM4029921,B_CONV_ANALOG,B-caSC3,101,235935,10076
306,source_label,JB18068,GSM4029921,B_CONV_ANALOG,B-caSC4,5,10037,2328
307,source_label,JB18068,GSM4029921,B_CONV_ANALOG,B-caSC5,170,559324,11877
308,source_label,JB18068,GSM4029921,B_CONV_ANALOG,B-caSC6,13,33046,4951
309,source_label,JB18068,GSM4029921,B_CONV_ANALOG,B-caSC7,18,42932,5596
310,source_label,JB18068,GSM4029921,B_ASC_CONTROL,PC-caSC0,25,169868,9075
